word;weight
abadi;2
abai;-3
abaktinal;0
abdi;-3
abid;3
abis;-1
tes;1
abnormalitas;-4
abolisi;-3
abon;-4
aborsi;-3
absen;-3
abses;-4
absorpsi;-3
absurd;-1
abuk;-3
abur;-5
acak;-3
acak acak;-3
acau;4
acuh;-2
adab;3
adam;-5
adang;-3
adaptasi;2
adat;2
adegan;-3
adekuat;2
adem;2
adhesif;0
adiaktinik;0
adidaya;2
adiguna;2
adigung;2
adika;5
adikodrati;2
adiktif;-4
adikuasa;2
adil;4
adiluhung;3
adimarga;-4
adisional;1
aditama;2
aditif;1
adiwarna;2
adjektival;0
administratif;0
administrator;3
adon;-4
adu;-4
adu lidah;-3
adu mulut;-4
aduh;-2
aduhai;4
aduk;-3
adun;2
adzan;3
aerobik;0
afair;3
afdal;2
afeksi;2
afiat;2
afiliasi;-4
afirmasi;3
afirmatif;1
afotik;0
agen;-3
agen rahasia;-3
agentif;0
agraris;0
agresif ofensif;2
agung;-4
ahad;3
ahli;3
ahli agama;1
ahli bahasa;-3
ahmak;-3
ahsan;2
aib;-1
air liur;-2
ajaib;-4
ajak;1
ajal;-4
ajang;-3
ajar;-5
ajojing;3
aju;-3
ajudan;4
ajuk;-5
akademik;2
akademis;1
akhlak;4
akhlaki;2
akibat;1
akidah;3
akik;-3
akil;4
akli;1
akliah;2
akomodasi;3
akomodatif;1
akrab;3
akreditasi;2
aksa;-4
akseptabel;1
akses;2
aksi;2
aksioma;-3
aksiomatis;2
aktif;2
aktinik;0
aktivasi;2
aktual;4
akuan;3
akur;2
akurat;2
akut;-5
alai belai;-3
alaihi salam;2
alaikum;2
alami;2
alamiah;2
alangkah;-2
alas;-4
alat kelamin;-3
alat negara;-3
alat vital;-2
alay;-1
albinoid;0
album;-2
alegoris;0
alegreto;0
alegro;0
alem;4
alergi;-3
alfabetis;1
alga;0
alhamdulilah;4
alhamdulillah;4
aliansi;1
alienasi;-3
alifatik;0
alih;-3
alih bentuk;-3
alih generasi;4
alikuot;0
alim;2
alir;1
alir darah;4
alir udara;-1
alisiklik;0
alit;1
alkalis;0
alkisah;-4
alku;-5
allah;2
alobar;-4
alon;1
alone;-3
alot;1
alpa;-3
alter;-5
alun;3
alur;-4
aluvial;0
asu;-5
amal;4
amanah;5
amandel;-5
amarah;-5
amatin;-2
ambai;-5
ambal;-4
ambang;-5
ambau;-5
ambek paramaarta;1
ambigu;-3
ambiguitas;-5
ambisi;4
ambisius;2
amblas;-3
ambles;-4
ambruk;-5
ambulatori;0
amburadul;-5
amerta;2
ametis;-4
amfoterik;0
amikal;2
amin;3
amit;-4
amniotik;0
amor;-4
amoral;-3
ampai;-4
ampas;-3
ampas kopi;3
ampel;-3
ampela;-5
amplop;3
ampu;-5
ampuh;4
ampun;1
amput;-3
amtenar;-3
amuk;-5
analisis;4
analitis;-4
analog;1
anarki;-4
anatomis;0
ancai;-5
ancam;-4
andai;3
andal;2
andeka;-3
andil;4
andini;2
andur;3
aneh;-4
aneka;3
aneka jenis;0
anekdot;-4
aneksasi;-5
anfas;2
angan;3
angan angan;4
anggai;-3
anggap;3
anggar;3
anggar anggar;3
anggar lidah;-3
anggara;-4
anggota;-3
angguk;1
anggun;2
anggur;-4
angin;-5
angit;-5
angkat;-5
angkat angkat;4
angkat tangan;-5
angkat topi;-4
angkot;-1
angkup;-3
angkut;1
anglo;-4
angpau;4
angsur;1
aniaya;-4
anih;0
animo;4
aniridia;0
anisotropis;0
anja anja;0
anjak;-3
anjay;-3
anjer;-3
anjg;-5
anjing;-4
anjing tanah;-5
anjir;-1
anjis;-1
anjlok;-4
anjung;4
anjur;-3
anodonsia;0
anom;-4
anorganik;0
anorgastik;0
ansar;4
antagonisme;-4
antap;-5
antarmaster;2
antarnegara;1
antarplanet;1
antek;-3
antem;-4
antemeridiem;0
anteng;4
anti;-2
antik;2
antikarat;1
antiklinal;0
antipati;2
antisiklonis;0
antisipasi;3
antitesis;-3
antologi;1
antroposentris;0
antuk;-4
antun;-3
antusias;-3
antusiasme;3
anu;-3
anugerah;3
anut;-3
anyar;4
anyir;-4
aparat;-3
aparatus;-3
apas;-3
apasih;-4
apatis;-5
apek;-4
apes;-5
apit;4
apiun;-3
apkir;-4
aplikasi;-4
aplikatif;2
apodal;0
apokrin;0
apokromatik;0
aposisional;1
apositif;1
apresiatif;2
apuh;0
arabika;2
arah;-4
arak;-2
aram;-3
aras;4
arau;-4
arbitrer;-5
arca;-3
argumen;-4
argumentatif;2
arif;3
arik;-3
aristokratis;0
arketipe;3
armada;-5
aromatik;2
aron;0
arsitektur;2
artetis;0
arti;3
artifisial;3
artikel;-4
artis;2
artistik;-2
aru;-5
aru aru;-4
arung;1
arus udara;-4
asa;-2
asah;-3
asah asih asuh;2
asak;-3
asam;-2
asan asan;-5
asasi;3
aseptik;1
asfal;-5
asid;-5
asih;-1
asik;4
asimilasi;-3
asimilatif;1
asin;0
asing;-4
asiri;0
asket;2
askriptif;0
asli;2
asmara;2
asmaradanta;0
asoi;2
asor;-5
asosiasi;-4
asosiatif;1
aspek;-3
aspiran;-5
aspirasi;2
aspiratif;2
asrama;3
asri;-3
assalamualaikum;3
astaga;-4
astagfirullah;-4
astagfirulloh;-4
astaghfirullah;-3
astral;1
asuh;-2
asumsi;-3
asusila;-5
aswad;-4
asyik;2
asyik asyik;1
ateistis;0
atensi;2
ati;-1
atmosferis;0
atom;3
atraktif;4
atresia;-3
atribut;-3
atributif;1
atuh;-1
atur;-4
atut;-2
aur;-3
aurat;-2
aus;-5
auta;-4
autarkis;0
autentik;3
autokton;0
autotrofik;0
avirulen;1
awa;-3
awaarang;0
awak;5
awan;-3
awan kelabu;-3
awas;-3
awat;5
awet;4
awi;-3
awur;-4
awut;-4
awut awut;-5
aya;3
ayahanda;1
ayal;-3
ayat;-4
ayem;2
ayit;1
ayun;-3
azab;-3
azali;2
azamat;4
azimat;-4
aziz;2
azmat;2
babak;-4
babar;3
babat;-4
babe;3
babi;-4
babi buta;-4
babil;-4
bablas;-5
babu;-5
bacar mulut;-4
bacok;-4
bacot;3
bad;-4
badai;-4
badan;-3
badani;0
badar;1
badmood;-4
badung;-4
bagak;2
bagal;-3
bagas;5
baginda;2
bagur;0
bagus;3
bahadur;2
bahaduri;4
bahagia;4
bahak;-2
bahala;-3
bahan;-4
bahana;-3
bahas;2
bahasa;-3
bahaya;-4
bahenol;1
bahlul;-5
bahtera;-3
baiat;-3
baid;0
bain;3
bait;-3
bajak;-5
bajik;4
bajing;-5
baju;2
bakar;-4
bakat;4
bakh;4
bakir;4
baksis;2
baktau;-5
bakti;4
baku;-3
bakup;0
bala;-5
bala bencana;-5
balai;-3
balairung;-3
balas;-3
balela;-4
balesnya;-2
balig;1
balkon;-3
balung;-4
balur;-4
balut;-3
bambu;-3
bambung;-3
ban;-4
banal;-3
banat;-4
bancang;-5
banci;-5
bancut;0
bandang;-4
bandar;-4
bandel;-5
banding;-3
bandit;-5
bando;-4
bandung;3
bangai;-3
bangan;-3
bangang;-3
bangbung;-4
bangga;3
bangir;2
bangkai;-4
bangkang;-4
bangkit;2
bangkit selera;3
bangkot;-4
bangkrut;-5
bangle;-4
bangsal;-3
bangsat;-5
bangsawan;2
bangun;-5
banjir;-4
bantah;-3
bantah bantah;5
bantai;-4
bantal;3
bantar;-4
banteng;-3
banter;1
bantet;-3
banting;1
bantu;3
bantuin;3
banyol;-3
bapa;1
bapanda;3
bapang;3
baper;-4
baperan;-4
bapet;-4
bara;2
baran;-5
barbar;-5
bareng;3
baret;-3
baring;2
barkas;-5
barua;-5
barut;-3
barzakh;-4
basah;0
basah basah;1
basi;-5
baskom;-4
basmi;-5
bastar;-2
batal;-3
batalion;-5
batang;-4
batas;3
batel;-4
baterai;-3
batil;-4
batu;2
batu dahak;-4
batu loncat;-3
batuk;-4
batuk batuk;-4
batuk darah;-4
batuk kering;-3
batuk lelah;-4
batung batung;-4
bau;-4
bau kencur;-4
bau tanah;-4
baung;0
bausuku;3
bawa;1
bawa berat;-3
bawain;-3
bawang;-5
bawat;-5
bawel;-4
baya;1
bayan;3
bayang;2
bayang bayang;3
bayangkara;3
bayar;1
bebal;-3
beban;-5
bebas;-4
bebat;-3
bebel;-5
beber;-4
bebodoran;2
becek;-4
becus;-4
beda;-2
beda beda;-3
bedah;-3
bedegap;1
bedegong;-4
bedel;-4
bedeng;-3
bedol;-4
begadang;-3
begah;-2
begak;-3
begal;-5
begana;-4
begandering;0
begu;-4
beguk;-4
begundal;-3
bejat;-5
bekah;0
bekal;3
bekam;-4
bekap;-3
bekas;4
bekat;0
bekicot;-4
belacak;0
belagu;4
belah;-5
belah ketupat;-4
belai;-4
belaka;-1
belam;-3
belang;-5
belanja;-3
belas;-3
belati;-4
belau;0
belel;0
belembang;-5
belendung;-3
belenggu;3
belengset;0
beleter;-4
beli;0
belia;-1
beliin;-1
belikan;-1
beling;-1
belingsat;-4
belinjo;-3
belis;-4
belit;-3
belit belit;-4
beliut;0
beloh;-5
belok;3
belongkot;0
beloon;-3
belot;-5
belu belai;-4
belukar;3
belulang;-3
belus;1
bembam;-4
benah hati;-3
benak;3
benak kepala;-3
benam;-5
benang;4
benang raja;4
bencana;-5
bencat;-5
benci;-5
bencong;-5
bendawi;0
bendel;-5
bendera;-3
benderang;-3
bendoro;-4
bendu;-4
bendung;-3
benefaktif;0
bengal;-4
bengang;0
bengap;-3
bengis;-5
bengkak;-4
bengkak hati;-3
bengkerap;-4
bengkok;-4
bengong;-1
bengok;-4
benguk;-2
bening;-4
benjut;-4
benta;-5
bentak;-5
bentan;-4
bentang;-3
bentok;-4
bentrok;5
bentuk;3
bentul;-3
bentur;1
benyot;-4
beol;-5
berahi;5
berak;-4
berak air;-4
beranang;-3
beranda;-3
berandal;-5
berang;-5
berangai;-5
berangan;-3
berangkal;-3
berangkat;-4
berangsang;-5
berani berani;1
beranta;-5
berantak;-4
berantas;-5
berat ekor;-4
berat hati;-4
berat kepala;-5
berat otak;-4
berat pinggul;-2
berat tangan;-4
berat telinga;-3
berat tulang;-4
bercak;-5
berdaya;-2
beredak;-5
berengsek;-5
beres;2
bergajul;-5
bergas;5
berhala;-4
beril;4
beringas;-4
berita;-1
berjubal;-3
berkah;4
berkat;1
bernas;-3
berogak ogak;-4
beron;-4
bersih;2
bersikukuh;-4
bersitegang;4
bersiteguh;1
berus;-4
beset;-4
besi tua;-4
besit;-2
beslah;-4
besot;-3
bestari;4
beta;-3
betapa;4
betas;-3
beti;1
betina;-2
beton;-2
better;2
betung;-3
biadab;-5
biadat;0
biak;-3
biang keladi;-4
bianglala;4
biarawati;-3
biarin;-3
biarpun;-3
bias;-2
biasin;-3
bicara;-3
bicu;-3
bidah;-3
bidai;-4
bidas;3
bidik;-2
biduanda;5
bienial;0
bijak;3
bijaksana;1
bijih;-3
bikin;3
bikonkaf;0
bikonveks;0
biksah;-5
bilas;1
bilateral;0
bilhak;3
bilik;-3
bilineal;0
bilingual;0
bimbang;-5
bimbing;3
bimbit;3
binasa;-5
bincang;2
bineka;3
binen;3
biner;0
bingit;-5
bingkas;3
bingkis;4
bingung;-2
bintulbahar;0
biogenik;0
biologis;0
bir;-5
birah;-3
biring;0
birokrat;-3
birthday;4
biru;0
biru biru;0
bisain;-2
bisik;-2
bismillah;4
bisnis;3
bison;-3
bisu;1
bisul;-4
biut;-5
biverbal;0
bjir;-3
blangko;-3
blaster;-3
blirik;0
blobor;-3
block;-4
blokir;-3
bloon;-3
blur;-4
bobol;-5
bobot;2
bobrok;-4
bobroq;-4
bocor;-4
bodo;-5
bodoamat;-4
bodoh;-3
bogem;-5
bogem mentah;-5
bogum;-3
bohong;-4
bokek;-5
bokep;-5
boker;-3
boksen;-5
bolak;0
bolong;-3
bolos;-3
bolsak;-4
bom;-1
bombastis;-3
bonafide;2
bonceng;-3
bondong;-4
bondong bondong;-3
bondot;-5
bongak;-5
bonggol;-4
bongkah;-2
bongkak;-3
bongkar;-3
bongkar bangkir;-5
bongkong;-3
bongok;-3
bongsor;-2
bontot;0
bonus;4
bonyok;5
booking;2
bopong;1
borak;-4
boro;-2
borok;-5
borong;2
boros;-5
bos;3
bosan;-3
bosman;-4
bosun;-4
boto;2
boyak;-5
brengsek;-5
brilian;2
brokat;-4
broker;-3
bromocorah;-5
brutal;-5
bruto;-3
buah;-3
buah bibir;-2
buah dada;-3
buah hati;-3
buah simalakama;-3
buai;3
bual;-4
buang;-3
buang air;-5
buang buang air;-5
buang hajat;-5
buang nyawa;-5
buari;-4
buas;-5
bubar;-2
bubuh;4
bubuk;-5
bucu;-3
budak;4
budaya;-5
budek;-3
budi pekerti;3
budiman;4
bufer;-3
bugar;2
buhuk;-4
bujang;4
bujuk;-3
buka;0
buka mata;-3
bukat;-4
bukti;3
bulang;3
bulat;0
buletin;-3
bulevar;-4
bully;-5
bulsak;-4
buluh;-3
bulus;-5
bumbu;5
bumbung;3
bumi;-3
bumiah;0
buncah;-4
buncit;-3
bunda;-5
bundak;-3
bundel;-5
bunduk;-3
bunga;3
bunga hati;-3
bungkam;-4
bungkus;-3
bungsu;-3
buni;-5
bunian;-4
buntang;-4
buntar;0
buntet;-2
bunting;-3
buntu;-3
buntung;-5
buntut;1
bunuh;-5
bunyi;2
burai;-5
buram;-3
buras;-4
buru;1
buru buru;1
buruk;-5
busana;2
busuk;-5
busut;-4
buta;-3
buta hati;-4
butek;-3
butuh;-5
butut;-5
buyung;4
buyut;-3
bye;-3
caba;-4
cabang;-4
cabar;-4
cabau;-4
cabe;-2
cabik;-3
cabuh;-3
cabul;-5
cacat;-5
cacau;-5
caci;-5
caci maki;-5
cacing;-4
cacing es;-4
cacing gelang gelang;-4
cacing gila;-4
cacing gilig;-4
cacing ginjal;-4
cacing hati;-2
cacing hitadid;-4
cacing jantung;-4
cacing kalung;-4
cacing karawit;-3
cacing kentar;-4
cacing keremi;-4
cacing palolo;-4
cacing pipih;-4
cacing pita;-4
cacing rambut kuda;-4
cacing tambang;-2
cacing tanah;-4
cadang;-5
cadas;-3
caem;2
cagar;-3
cagil;-4
cagun;-3
cahari;-3
cahaya;4
caing;-3
cair;-1
cakap;5
cakap angin;-4
cakar;-4
cakar cakar;-4
cakus;-4
calar;-3
calit;-3
campak;-4
campin;1
camping;-3
campur;5
campur aduk;-2
camuk;-4
canda;-3
candal;-5
candala;-5
candang;2
candramawa;0
candrasa;3
candu;-3
canggih;2
canggung;-4
cangkul;-4
cangkum;-3
cantas;2
cantik;2
cantol;-3
cantrik;-3
cantum;4
capai;4
capak;-4
capit;-3
caplak;-4
caplok;-3
carak;-3
caran;-4
care;2
cari;-2
cari akal;3
cari ilmu;4
cari jalan;3
cariin;-2
carik;-5
caruk;-4
carut;-5
cash;2
cat;4
catak;-4
cakep;5
catat;3
catu;4
catur;-3
catut;-3
cawis;2
cebak;3
cebik;-3
cebur;-5
cecah;-3
cecak;-3
cecap;-5
cecer;-3
cecunguk;-5
cedayam;2
cedera;-4
cedih;-3
cedok;3
cegah;-5
cegak;1
cegar;4
cegat;-3
cekah;-4
cekak;-3
cekam;-4
cekang;-3
cekat;-4
cekau;-2
cekcok;-4
cekel;4
ceker;-3
cekik;-4
cekit;-4
cekluk;-4
cekok;-3
ceku;-5
cekuh;-3
cekuk;0
cekung;0
cela;-5
celah;-3
celaka;-5
celampak;-3
celemotan;-4
celengan;3
celetuk;-5
celi;2
celih;-4
celomes;-4
celomok;-4
celonok;-3
celopar;-4
celoteh;-4
celuk;-3
celus;1
cema;-5
cemar;-4
cemas;4
cemat;-5
cemberut;-4
cembung;-3
cemburu;-5
cemeeh;-4
cemeh;-4
cemerlang;4
cemeti dewa;-2
cemomot;-4
cemong;-4
cemooh;-5
cempala mulut;-5
cempek;-4
cempelung;-5
cempeng;-4
cempera;-5
cempiang;3
cemplung;1
cempung;-4
cemuas;-4
cena;-3
cenangkas;3
cencala;-5
cendala;-5
cendekia;-4
cendera;4
cendera mata;4
cenderung;-2
cengang;1
cengang cengang;-3
cengeng;-4
cengger;-3
cengkam;-4
cengkau;3
cengkedi;-4
cengkek;0
cengkelong;-5
cengkeram;-5
cengkerama;-2
cengki;1
cengli;1
cengung;-3
centang;-5
centil;5
cenung;1
cepat;2
ceples;0
cepol;-4
cerabah;-5
cerabih;-4
ceracam;-4
ceracau;-4
cerah;-3
cerai;-4
cerai berai;-5
cerap;3
cerat;-3
cerbak;1
cerca;-5
cercah;2
cerdas;2
cerdik;2
cerewet;-5
cergas;2
ceri;4
ceria;4
cerita;3
cerita anak;2
cerita burung;-5
cerita khayal;-2
cerita reka;-4
ceriwis;-4
cerkau;-4
cermat;2
cermin;3
cerna;3
ceroboh;-5
ceronggah;-4
ceruk;-3
cerup;-3
cespleng;1
cetak;-5
cetek;-3
cetera;-4
cetus;-1
challenge;2
check;1
childish;-2
cibir;-5
cicik;-4
cicip;3
cikun;-5
cikun cikun;-5
cincong;-4
cindur mata;4
cingangah;-4
cinta;-1
cinta kasih;-1
cintrong;2
ciplak;-3
cipta;3
cirit;-5
cita;3
citra;2
cium;-3
cium tanah;-5
cium telapak kaki;1
ciut;-3
ciyeee;1
claim;-3
classy;-2
close;-2
closed;-3
coba;-1
coblos;-3
cocok;2
barangkali;-2
cocor;-3
coffee;2
cokelat;0
cokol;4
colak caling;-5
colek api;-4
coleng;-4
colok;2
colong;-5
comberan;-4
comblang;-5
comeback;-2
comel;4
comot;-4
compeng;-4
compes;-4
condong;-5
congek;-3
congkak;-3
congkel;-4
congor;-3
congrats;3
conteng;-3
contoh;4
cool;2
copet;-5
coplok;-3
copot;1
corak;-3
coreng;-4
coreng moreng;-4
corengmoreng;-4
coret;-1
cotok;-3
couple;2
cover;3
crash;-4
cry;-3
cuai;-4
cuak;-4
cuat;2
cubit;-3
cublik;4
cuca;-5
cucok;-1
cucu adam;3
cucuk;-3
cucup;-3
cucur;-5
cucut;-3
cuek;1
cuekin;-3
cuka belanda;-5
cuka jawa;-5
cukur;-4
cumbu;-4
cumbu cumbu;-3
cumil;4
cunam;-3
cungkil;-4
cupet;-5
cupul;-5
cura;-4
curang;-5
curat;-1
curcol;-3
curhat;-3
curi;-5
curiah;2
curiga;1
curna;-5
curu;-3
cute;-1
cutel;-4
cuti;3
dabih;-3
dadah;-4
dadak;3
daftar;0
dagang;3
dagel;3
daging;1
dahiat;-5
dahsyat;-5
daif;-3
daim;2
daing;-4
dajal;-5
dakaik;3
dakap;-3
daki;-4
dakik;0
dakwa;3
dalal;-3
dalalah;-5
dalang;3
dalih;-4
dalil;-3
dam;-3
damai;-3
damar;4
damba;3
dampak;-3
dampar;-5
damping;1
damprat;-4
dana;4
dandan;4
dangkal;1
dangkap;-3
dangkar;-4
dangkung;-3
dansa;3
danyang;-4
dapra;-3
darah dingin;-4
daras;-5
darat;-3
darurat;-4
dasar;-4
data;3
datar;0
datuk;-4
dauk;0
daulat;4
daun;4
daya;4
daya cipta;4
daya gabung;4
daya muat;-2
daya pikir;-2
daya serap;-2
daya tahan;5
daya tampung;-2
daya upaya;-4
dear;2
death;-3
debar;-4
debat;3
debil;-5
debu;-3
debuk;3
debus;1
dedah;-4
dedak;-3
dede;1
dedemit;-4
dedengkot;3
dedikasi;-3
dedikatif;1
deduksi;3
deduktif;1
defekasi;-5
defensif;1
definisi;3
definit;2
definitif;1
defisien;1
defisit;-3
degap;3
degil;-5
degub;-3
dekaden;-5
dekadensi;-5
dekap;-2
dekil;-5
deklarasi;-3
dekorasi;5
dekoratif;2
dekus;-3
delay;-3
delegasi;-4
delete;-3
deltoid;0
delusi;3
demagogis;0
demek;-4
demes;1
demo;-3
demografis;1
demokratis;1
demon;-3
demonstrasi;-4
demonstratif;1
dempang;0
dempet;-3
denai;-4
denda;3
dendam;-5
dendam berahi;-4
dendang;4
dendeng;-4
dengar;-3
dengar;3
dengerin;3
dengki;-5
dengkik;-4
dengkul;-3
dengkur;-3
dengu;-3
dengung;-3
dengus;-3
dengut;-3
dentat;0
denyut;-3
depak;-3
dependen;3
deposito;3
depresi;-4
dera;1
derai;3
derajat;4
deras;1
derau;3
derek;-5
deriji;-4
dering;-3
derita;-5
derivatif;0
derma;3
deru;-3
derum;-4
desa;4
desah;-3
desain;4
desak;1
desas desus;-5
desau;-3
desersi;-3
desir;-2
deskripsi;-4
despotik;0
destar;-4
detail;1
detak;-3
deteksi;3
detektif;-3
determinasi;3
dewan;-3
dewana;3
dewasa;2
diajarin;-3
diakronis;0
dialektal;0
dialog;1
diam;-3
diametral;0
diamond;3
diancurin;-3
diapain;-3
diare;-4
diatonik;0
dibales;-3
dibasa;0
dibeliin;-1
diblock;-4
dibully;-5
dicuekin;1
didaktis;2
didih;-3
didik;3
didis;-4
diduain;-3
die;-4
diet;-3
diferensial;1
digdaya;4
diginiin;-3
digital;1
digituin;-2
digresi;-4
dihedral;0
dihidroksil;0
dikangenin;-2
dikara;3
dikatain;-3
diketawain;-4
dikte;3
dilema;-3
diliatin;-3
dilupain;-4
dimarahin;-5
diminutif;0
dina;-5
dinamik;1
dinamika;3
dinamis;1
dinasti;-3
dinding;-5
dingin;4
dinistain;-4
dipamerin;-3
diploid;0
diplomasi;-5
diplomatis;1
direk;1
direksi;-3
direktur;3
dirgahayu;2
disalahin;-3
disentri;-5
disilabik;0
disimilaritas;-4
disiplin;4
diskaun;3
diskoid;0
diskon;2
diskontinu;0
diskredit;-4
diskrepansi;-3
diskursif;1
disparitas;-4
dispensasi;3
distingsi;-4
distingtif;4
distorsi;-4
distribusi;3
ditidurin;-4
diva;2
divergensi;-4
doa;4
doain;2
dobel;1
dobrak;-4
dodor;3
dogma;-3
dogmatis;2
dogol;-5
doh;-4
doi;-3
dok;4
doktrin;-3
dol;3
domba;-3
domestik;1
dominan;2
dominasi;3
domot;-5
dompleng;-3
dompol;-4
donatur;3
dondon;0
dongeng;-1
dongkel;-3
dongkol;-4
dongkrak;-3
dongok;-5
donor;1
darah;1
dorong;-4
dosa;-4
down;-3
drama;-4
drama duka;-4
drama ria;3
dramatik;0
dramatis;0
drastis;4
draw;-3
drop;-3
drum;2
duaja;-3
duduk perut;-3
duel;-4
duet;-2
duga;-1
dugal;-5
dugdeng;1
duh;-4
duit;4
duka;-5
dukacarita;-4
dukacita;-3
dukun;-3
dukung;4
duli;4
duluan;-2
dum;-3
dungas;-3
dungkul;-4
dungu;-5
dunia;1
dupleks;-3
duplo;0
dura;-3
duratif;0
durhaka;-5
duri;-4
durjana;-5
durkarsa;-5
dursila;-5
dusin;4
dusta;-4
duyun duyun;-3
dwiganda;-3
dwiguna;1
dzuhur;1
eaa;1
eban;-4
ecer;-2
eco;5
edan;-3
edar;2
edentat;0
edukatif;2
eek;-5
efek;3
efektif;3
efisien;2
egalitarian;0
egaliter;1
ego;-3
egois;-5
egresif;0
eidetik;0
eja;3
ejakulasi;-3
ejawantah;-3
ejek;-4
ejektif;0
eka;3
ekang;-4
ekdemik;0
eklektis;-3
ekofraksia;-5
ekologis;0
ekonomis;2
ekor;-3
eksak;1
eksemplar;3
ekshibisi;-3
eksklusif;2
ekskursif;0
eksoergik;0
eksotermik;0
eksotik;1
eksotis;1
eksperimental;1
ekspirasi;-3
eksplisit;3
eksplorasi;4
eksploratif;1
eksponensial;1
ekspos;-4
ekspres;3
ekspresif;2
ekspresionistik;2
ekstasi;-3
ekstensif;3
ekstern;1
eksternal;1
ekstra;3
ekstraktif;1
ekstrakurikuler;1
ekstralinguistis;1
ekstraparlementer;0
ekstraseluler;0
ekstrem;2
ekstremis;3
ekstrinsik;1
ektotermik;1
ekumenis;2
elak;-4
elastis;2
elegan;4
elektris;0
elektromotif;3
elektronegatif;0
elektronis;0
elementer;0
eliptis;0
elite;5
elitis;0
elok;3
elu;-2
elus;-3
elusif;-2
embah;-3
embal;-4
embarau;-3
embat;-5
embek;-3
embel embel;5
embrionik;0
embus;-4
emergensi;-4
eminen;1
emir;4
emmm;-2
emong;3
emosi;3
empal;-4
empang;-5
empap;-3
empas;-3
empedal;-5
emper;-3
empiris;1
empos;-3
empot empot;-5
empuk;-4
enak;2
enap;1
enas;-5
encang;-3
encer;1
encok;-5
endemi;-5
endogen;0
endosentris;0
endotermal;0
endotermis;0
endus;-3
endut endut;3
enek;-4
eneng;5
energetik;2
energi;3
energik;5
engah;1
enggan;-5
engkah;0
engkau;-4
enjak;-3
enjoy;3
enom;1
ensiform;0
ensiklopedis;2
entak;-3
enteng;-2
entitas;1
enyah;-4
epidemi;-5
epigon;-3
episiklik;0
episkopal;1
episodik;1
epizoik;0
epizootik;0
erang;1
erat;2
erik;-3
eror;-4
erot;-4
erotis;-4
eroton;-4
error;-5
erti;-2
es;-3
esa;3
esai;2
esak;-3
esensial;2
esok;1
esoteris;1
estetik;4
estetis;4
etimologis;1
etis;2
etnis;1
etnografis;0
etnologis;0
eufemistis;0
eurihalin;0
eusinantropus;0
eutektik;0
evaluatif;2
eviden;3
evolusioner;1
ex;-1
excited;-1
exp;-2
faal;4
fadihat;-5
fadil;3
faedah;-1
fail;-5
fair;3
fakir;-5
fakta;-3
faktitius;3
faktor;-4
faktual;3
fakultatif;1
falsafi;1
familiar;2
familier;1
fanbase;3
fans;2
fantasi;3
fantastis;2
fantasy;2
farak;-3
farik;0
faring;-5
farmakologis;0
fasid;-5
fasih;2
fatal;-5
fatamorgana;3
fatanah;3
fatwa;-3
faunistik;0
favorit;5
favorite;4
federal;0
federalistis;0
federasi;3
feral;0
feromagnetik;0
fertil;0
feses;-5
fibrokistik;0
fiesta;3
figur;3
figuratif;1
fiksi;-2
filantropi;2
filantropis;2
filatelik;0
filial;2
filmis;1
filo;-3
filosofis;2
filsafat;3
final;3
finansial;1
fine;3
firasat;-4
firdausi;2
fisibel;2
fisik;0
fiskal;-3
fit;2
fitnah;-4
fitrah;3
fitri;2
flu;-3
fluoresen;0
fokus;-2
folder;-5
follback;1
fondasi;-3
fonemis;0
fonis;0
fonologis;0
formal;-3
